question,A,B,C,D,E,answer,explanation
<p>Surface plate is used to check the trueness of flat surfaces.</p>,True,False,,,,A,
<p>A zinc diffusion process is called</p>,galvanising,anodising,parkerising,sherardizing,,D,
"<p>The accuracy of micrometers, calipers, dial indicators can be checked by a</p>",feeler gauge,slip gauge,ring gauge,plug gauge,,B,
<p>The type of file used for a wood work is</p>,single-cut file,double cut file,rasp-cut file,any one of these,,C,
<p>A taper provided on the pattern for its easy and clean withdrawl from the mould is known as</p>,machining allowance,draft allowance,shrinkage allowance,distortion allowance,,B,
"<p>In arc welding, the electric arc is produced between the work and the electrode by</p>",voltage,flow of current,contact resistance,all of these,,C,
<p>In a centrifugal casting method</p>,core is made of sand,core is made of ferrous metal,core is made of non-ferrous metal,no core is used,,D,
<p>The draft or taper allowance on casting is generally</p>,1 to 2 mm/m,2 to 5 mm/m,5 to 10 mm/m,10 to 15 mm/m,,A,
<p>Which of the following welding process uses non-consumable electrodes?</p>,TIG welding,MIG welding,Manual arc welding,Submerged arc welding,,A,
"<p>In a bilateral system of tolerance, the tolerance is allowed on</p>",one side of the actual size,one side of the nominal size,both sides of the actual size,both sides of the nominal size,,D,
<p>In a hot chamber die casting machine</p>,ferrous alloys with low melting temperature are casted,ferrous alloys with high melting temperature are casted,non-ferrous alloys with low melting temperature are casted,non-ferrous alloys with high melting temperature are casted,,C,
<p>The chisel used for cutting key ways is</p>,flat chisel,cape chisel,round nose chisel,diamond pointed chisel,,B,
<p>The temperature at which the new grains are formed in the metal is called</p>,lower critical temperature,upper critical temperature,eutectic temperature,recrystallisation temperature,,D,
<p>Thread rolling is restricted to</p>,ferrous materials,ductile materials,hard materials,none of these,,B,
"<p>In sheet metal blanking, shear is provided on punches and dies so that</p>",press load is reduced,good cut edge is obtained,warping of sheet is minimised,cut blanks are straight,,A,
<p>In welding copper alloys with TIG arc welding</p>,direct current with straight polarity is used,direct current with reversed polarity is used,alternating current is used,any one of these,,A,
<p>The algebraic difference between the minimum limit and the basic size is called</p>,actual deviation,upper deviation,lower deviation,fundamental deviation,,C,
<p>The temperature of oxy-hydrogen flame is __________ oxy-acetylene flame.</p>,same as,less than,more than,,,B,
<p>Which of the following methods can be used for manufacturing 2 metre long seamless metallic tubes?</p>,Drawing,Extrusion,Rolling,Extrusion and rolling,,D,
