question,A,B,C,D,E,answer,explanation
"<p>For the same diameter and thickness of tube, a water tube boiler has __________ heating surface as compared to fire tube boiler.</p>",more,less,equal,,,A,
<p>Throttle governing of steam engines is a method of controlling the engine output by varying</p>,volume of intake steam,pressure of intake steam,temperature of intake steam,all of these,,B,
"<p>In a double acting steam engine, the steam is admitted on one side of the piston and two working strokes are produced during each revolution of the crankshaft.</p>",Yes,No,,,,B,
<p>Cornish boilers are multi-tubular boilers.</p>,True,False,,,,B,
<p>Expansion ratio is the ratio of</p>,swept volume to the volume at cut-off,clearance volume to the swept volume,volume at cut-off to the swept volume,swept volume to the clearance volume,,A,
"<p>In cross compounding, the cylinders are arranged</p>","side by side and each cylinder has common piston, connecting rod and crank","side by side and each cylinder has separate piston, connecting rod and crank","at 90° and each cylinder has common piston, connecting rod and crank","at 90° and each cylinder has separate piston, connecting rod and crank",,B,
<p>The motion of a D-slide valve in a steam engine is simple harmonic.</p>,Yes,No,,,,A,
"<p>A device used in a boiler to control the flow of steam from the boiler to the main pipe and to shut off the steam completely when required, is known as</p>",blow off cock,fusible plug,superheater,stop valve,,D,
<p>A single ended Scotch marine steam boiler may have one to four furnaces which enter from front end of the boiler.</p>,Correct,Incorrect,,,,A,
<p>The high steam and low water safety valve is used to blow off steam when the</p>,steam pressure exceeds the working pressure,water level in the boiler becomes too low,both (a) and (b),none of the above,,C,
"<p>In a Tandem type compound engine, the high pressure and low pressure cylinders</p>",have common piston rod,are set at 90°,have separate piston rods,are set in <i>V</i> - arrangement,,A,
<p>Lancashire boiler is a stationary fire tube boiler.</p>,Agree,Disagree,,,,A,
<p>Lancashire boiler is used where working pressure and power required are</p>,low,moderate,high,none of these,,B,
<p>The amount of water evaporated or steam produced in kg per kg of fuel burnt is termed as evaporative capacity of a boiler.</p>,Agree,Disagree,,,,A,
"<p>In a compound steam engine, the temperature range per cylinder is reduced, with corresponding reduction in the condensation.</p>",Correct,Incorrect,,,,A,
<p>The cylinder condensation or missing quantity may be reduced by</p>,the efficient steam jacketing of the cylinder walls,superheating the steam supplied to the engine cylinder,keeping the expansion ratio small in each cylinder,all of the above,,D,
<p>The actual vacuum in a condenser is equal to</p>,barometric pressure + actual pressure,barometric pressure - actual pressure,gauge pressure + atmospheric pressure,gauge pressure - atmospheric pressure,,B,
<p>The function of a superheater is to heat the feed water by utilising the heat in the exhaust flue gases before leaving through the chimney.</p>,Yes,No,,,,B,
