question,choices,answer
"Assuming that the earth is sphere whose radius is 6400 km. Find the distance along a 3 degree arc at the equator of the earth’s surface.","[""335.10 km"",""533.10 km"",""353.10 km"",""353.01 km""]",0
"The angle subtended by an arc is 24o. If the radius of the circle is 45 cm, find the length of arc","[""16.85 cm"",""17.85 cm"",""18.85 cm"",""19.85 cm""]",2
"A rat feel on a bucket of a water wheel with diameter of 600 cm which travelled an angle of 190obefore it dropped from the bucket. Calculate for the linear cm that the rat was carried by the bucket before it fell.","[""950"",""965"",""985"",""995""]",3
"Given the circle whose diameter AB equals 2 m. If two points C and D lie on the circle and angles ABC and BAD are 18o and 36o, respectively, find the length of the major arc CD.","[""1.26 m"",""1.36 m"",""1.63 m"",""1.45 m""]",0
"A certain angle has as supplement 5 times its complement. What is the angle?","[""67.5o"",""58.5o"",""30o"",""27o""]",0
"Each angle of a regular dodecagon is equal to","[""135o"",""150o"",""125o"",""105o""]",1
"How many sides has a polygon if the sum of the interior angles is 1080o?","[""5"",""6"",""7"",""8""]",3
"The sum of the interior angles of a polygon is 540o. Find the number of sides.","[""3"",""4"",""5"",""6""]",2
"Find the sum of the interior angles of the vertices of a five pointed star inscribed in a circle.","[""150o"",""160o"",""170o"",""180o""]",3
"How many sides are in a polygon if each interior angle is 165 degrees.","[""12"",""24"",""20"",""48""]",1
"How many diagonals are there in a polygon of 20 sides?","[""200"",""170"",""100"",""158""]",1
"Find each interior angle of a hexagon.","[""90o"",""120o"",""150o"",""180o""]",1
"Given a triangle, C = 100o, A = 15 m, B = 20 m. Find C.","[""26 m"",""27 m"",""28 m"",""29 m""]",1
"In triangle ABC, angle A = 45o and C = 70o. The side opposite angle C is 40 m long. What is the length of the side opposite angle A?","[""26.1 m"",""27.1 m"",""29.1 m"",""30.1 m""]",3
"In triangle ABC, angle C = 70o, A= 45o, AB = 40 m. What is the length of the median drawn from vertex A to side BC?","[""36.3 m"",""36.6 m"",""36.9 m"",""37.2 m""]",0
"From a point outside of an equilateral triangle, the distances to the vertices are 10 m, 18 m and 10 m, respectively. What is the length of one side of a triangle?","[""17.75 m"",""18.50 m"",""19.95 m"",""20.50 m""]",2
"The sides of a triangle are 8 cm, 10 cm and 14 cm. Determine the radius of the inscribed circle.","[""2.25 cm"",""2.35 cm"",""2.45 cm"",""2.55 cm""]",2
"What is the radius of the circle circumscribing an isosceles right triangle having an area of 162 sq. cm.?","[""12.73 m"",""13.52 m"",""14.18 m"",""15.55 m""]",0
"The sides of a triangle are 8 cm, 10 cm and 14 cm. Determine the radius of the circumscribing circle.","[""7.14 cm"",""7.34 cm"",""7.54 cm"",""7.74 cm""]",0
"Two sides of a triangle are 50 m and 60 m long. The angle included between these sides is 30o. What is the interior angle opposite the longest side?","[""93.74o"",""92.74o"",""90.74o"",""86.38o""]",3
"A circle with radius 6 cm has half its area removed by cutting off a border of uniform width. Find the width of the border.","[""1.76 cm"",""1.35 cm"",""1.98 cm"",""2.03 cm""]",0
"The area of a circle is 89.42 sq. inches. What is its circumference?","[""32.25 in."",""33.52 in."",""35.33 in."",""35.55 in.""]",1
"A square section ABCD has one of its sides equal to x. Point E is inside the square forming an equilateral triangle BEC having one side equal in length to the side of the square. Find the angle AED.","[""130o"",""140o"",""150o"",""160o""]",2
