question,A,B,C,D,E,answer,explanation
"<p>In terms of R, L, G and C the propagation constant γ of a transmission line is</p>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/09-19-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/09-19-2.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/09-19-3.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/09-19-4.png""/>",,B,
"<p>The <span class=""symbol"">p</span> mode of operation of magnetron signifies that</p>","the phase difference between adjacent anode poles is <span class=""symbol"">p</span> radians","the phase difference between adjacent anode poles is a multiple of <span class=""symbol"">p</span> radians","the total phase shift around the periphery is <span class=""symbol"">p</span> radians",none of the above,,A,
"<p>Consider the following statements (L is the length of array between centres of end antennas and A is wave-length)<ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">Width of major lobe between nulls of broad side array and end fire array are different.</li><li style=""padding-top:10px;"">Directive gain of broadside array and end fire array are different.</li><li style=""padding-top:10px;"">Directive gain of broadside array is 4 <img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/24-325-3.png""/></li></ol> Which of the above statements are correct?</p>","1, 2 and 3",1 and 2 only,1 only,1 and 3 only,,D,
<p>The electrical requirement on wall thickness of rectangular wave guide is</p>,wall thickness is more than skin depth,wall thickness is less than skin depth,wall thickness is equal to skin depth,either (b) or (c),,A,
<p>If a microstrip is enclosed in a metal enclosure</p>,the radiation losses are increased,the radiation losses are reduced RL,the capacitance becomes zero,the inductance becomes zero,,B,
"<p>In the given figure power meters at A and B indicate 1 mW and 110 μW respectively. VSWR of line is<br/><img src=""/_files/images/electronics-and-communication-engineering/microwave-communication/17-179.png""/></p>",1.5,2,2.5,3,,B,
"<p>As frequency is increased, the skin effect</p>",increases,decreases,remains the same,either (b) or (c),,A,
<p>In a rectangular waveguide there is one half wave variation of electric field across the narrow dimension and two half wave variations of electric field across wider dimension. The dominant mode is</p>,TM<sub>12</sub>,TE<sub>13</sub>,TE<sub>21</sub>,TM<sub>25</sub>,,C,
<p>VTM stands for voltage tunable magnetron.</p>,True,False,,,,A,
<p>Which of the following is used in integrated circuits?</p>,Microstrip line,Coaxial line,Twin wire line,Shield cable,,A,
<p>Which of the following is a balanced line?</p>,Coaxial line,Strip line,Microstrip line,TV twin lead,,D,
<p>A line of characteristic impedance 400 Ω is terminated by a resistance of 400 Ω. The reflected quantities are</p>,zero,equal to incident quantities,half the incident quantities,double the incident quantities,,A,
"<p>A magic tee is to be used as CW duplexer. Then port 1, port 2, port 3 (E arm), port 4 (H arm) respectively should be connected to</p>","matched load, antenna, receiver and CW transmitter","CW transmitter, antenna, receiver and matched load","CW transmitter, receiver, antenna and matched load","CW transmitter, matched load, receiver and antenna",,A,
<p>Wave guides are pressurised above normal atmospheric pressure for</p>,increasing the power handling capacity,improving conductivity of walls,preventing higher modes from propagation,varying the wave impedance,,A,
"<p><p><b>Assertion (A):</b>  In a power divider S<sub>H</sub> = 0, S<sub>21</sub> = 0.707 = S<sub>3</sub>, </p><p><b>Reason (R):</b> In a power divider the input port (<i>i</i>.<i>e</i>., port 1) is matched and incident power is equally divided in output ports 2 and 3</p></p>",Both A and R are correct and R is correct explanation of A,Both A and R are correct but R is not correct explanation of A,A is correct but R is wrong,A is wrong but R is correct,,A,
"<p>In microwave detector used in laboratory measurements of relative power levels, standing wave ratio is about</p>",0.1,1.25,5,10,,B,
<p>Microwaves</p>,get reflected by ionosphere,are absorbed by ionosphere,are neither reflected nor absorbed by ionosphere,are both reflected and absorbed by ionosphere,,C,
<p>In microstrip line has dielectric material most commonly used is</p>,silicon,rubber,plastic,bakelite,,A,
<p>In fibre optics the use is made of thin glass fibres for efficient transmission of light.</p>,True,False,,,,A,
<p>Fields are said to be circularly polarized if</p>,their magnitudes are equal,their magnitudes are equal and they differ in phase by ± 90°,their magnitudes are unequal and they differ in phase ± 90°,their magnitudes are unequal and they are in phase,,B,
