question,A,B,C,D,E,answer,explanation
<p>Chromium when added to steel __________ the tensile strength.</p>,does not effect,decreases,increases,,,C,
<p>Which of the following is added in low carbon steels to prevent them from becoming porous?</p>,Sulphur,Phosphorus,Manganese,Silicon,,D,
<p>A steel with carbon __________ is known as hypo-eutectoid steel.</p>,0.8%,below 0.8%,above 0.8%,,,B,
<p>Free cutting steels</p>,contain carbon in free from,require minimum cutting force,is used where rapid machining is the prime requirement,can be cut freely,,C,
<p>The presence of hydrogen in steel causes</p>,reduced neutron absorption cross-section,improved weldability,embrittlement,corrosion resistance,,C,
<p>Tin base white metals are used where the bearings are subjected to</p>,large surface wear,elevated temperatures,light load and pressure,high pressure and load,,A,
<p>The charge of the blast furnace consists of</p>,"calcined ore (8 parts ), coke (4 parts) and limestone (1 part)","calcined ore (4 parts), coke (1 part) and limestone (8 parts)","calcined ore (1 part), coke (8 part) and limestone (4 parts)","calcined ore, coke and limestone all in equal parts",,A,
"<p>The ability of a material to resist fracture due to high impact loads, is called</p>",strength,stiffness,toughness,brittleness,,C,
<p>The purpose of heat treatment is to</p>,relieve the stresses set up in the material after hot or cold working,modify the structure of the material,change grain size,any one of these,,D,
"<p>An alloy of copper, tin and zinc is known as</p>",brass,bronze,gun metal,muntz metal,,C,
<p>Which of the following iron exist between 910° C and 1403° C?</p>,α-iron,β-iron,γ-iron,δ-iron,,C,
"<p>The material in which the atoms are arranged chaotically, is called</p>",amorphous material,mesomorphous material,crystalline material,none of these,,A,
"<p>In basic bessemer process, the furnace is lined with</p>",silica bricks,a mixture of tar and burnt dolomite bricks,either (a) or (b),none of these,,B,
<p>Polyvinylchloride (PVC) is a __________ material.</p>,thermoplastic,thermosetting,,,,A,
"<p>In a unit cell of close packed hexagonal space lattice, there are twenty four atoms.</p>",Correct,Incorrect,,,,B,
<p>The steel produced by cementation process is known as __________ steel.</p>,blister,crucible,,,,A,
<p>Duralumin has better strength than Y-alloy at high temperature.</p>,True,False,,,,B,
<p>Normalising of steel is done to</p>,refine the grain structure,remove strains caused by cold working,remove dislocations caused in the internal structuure due to hot working,all of the above,,D,
<p>A steel containing 12 to 14% chromium and 0.12 to 0.35% carbon is called martensitic stainless steel.</p>,True,False,,,,A,
"<p>When a steel containing __________ 0.8% carbon is cooled slowly below the lower critical point, it consists of ferrite and pearlite.</p>",equal to,less than,more than,,,B,
<p>Shock resistance of steel is increased by adding</p>,nickel,chromium,nickel and chromium,"sulphur, lead and phosphorus",,C,
"<p>In low carbon steels, __________ raises the yield point and improves the resistance to atmospheric corrosion.</p>",sulphur,phosphorus,manganese,silicon,,B,
<p>A steel containing 16 to 18% chromium and about 0.12% carbon is called</p>,ferritic stainless steel,austenitic stainless steel,martensitic stainless steel,nickel steel,,A,
"<p>The alloy, mainly used for corrosion resistance in stainless steels is</p>",silicon,manganese,carbon,chromium,,D,
<p>The temperature required for full annealing in hyper-eutectoid steel is</p>,30° C to 50° C above upper critical temperature,30° C to 50° C below upper critical temperature,30° C to 50° C above lower critical temperature,30° C to 50° C below lower critical temperature,,C,
<p>Which of the following metal shrinks most from molten state to solid state?</p>,Cast iron,Cast steel,Brass,Admirality metal,,D,
<p>A steel containing ferrite and pearlite is</p>,hard,soft,tough,hard and tough,,B,
<p>The defect which takes place due to imperfect packing of atoms during crystallisation is known as</p>,line defect,surface defect,point defect,none of these,,C,
<p>The upper critical point varies according to the carbon content in steel.</p>,True,False,,,,A,
<p>A coarse grained steel</p>,is less tough and has a greater tendency to distort during heat treatment,is more ductile and has a less tendency to distort during heat treatment,is less tough and has a less tendency to distort during heat treatment,is more ductile and has a greater tendency to distort during heat treatment,,A,
<p>Duralumin contains</p>,"3.5 to 4.5% copper, 0.4 to 0.7% magnesium, 0.4 to 0.7% manganese and rest aluminium","3.5 to 4.5% copper, 1.2 to 1.7% managanese, 1.8 to 2.3% nickel, 0.6% each of silicon, magnesium and iron, and rest aluminium","4 to 4.5% magnesium, 3 to 4% copper and rest aluminium","5 to 6% tin, 2 to 3% copper and rest aluminium",,A,
<p>Age hardening is related to</p>,duralumin,brass,copper,silver,,A,
<p>The addition of which of the following improves machining of copper?</p>,Sulphur,Vanadium,Tin,Zinc,,A,
"<p>When a medium carbon steel is heated to coarsening temperature,</p>",there is no change in grain size,the average grain size is a minimum,the grain size increases very rapidly,the grain size first increases and then decreases very rapidly,,C,
<p>Phosphorus is added in low carbon steels to raise its yield point.</p>,True,False,,,,A,
"<p>In process annealing, the hypo-eutectoid steel is</p>",heated from 30° C to 50° C above the upper critical temperature and then cooled in still air,heated from 30° C to 50° C above the upper critical temperature and then cooled suddenly in a suitable cooling medium,heated from 30° C to 50° C above the upper critical temperature and then cooled slowly in the furnace,heated below or close to the lower critical temperature and then cooled slowly,,D,
<p>Delta-iron occurs between the temperature range of</p>,400°C to 600°C,600°C to 900°C,900°C to 1400°C,1400°C to 1530°C,,D,
"<p>According to Indian standard specifications, SG 400/15 means</p>",spheroidal graphite cast iron with B.H.N. 400 and minimum tensile strength 15 MPa,spheroidal graphite cast iron with minimum tensile strength 400 MPa and 15 percent elongation,spheroidal graphite cast iron with minimum compressive strength 400 MPa and 15 percent reduction in area,none of the above,,B,
<p>White cast iron has</p>,carbon in the form of carbide,low tensile strength,high compressive strength,all of these,,D,
<p>Iron-carbon alloys containing carbon __________ 4.3% are known as hyper-eutectic cast irons.</p>,equal to,less than,more than,,,C,
<p>The stiffness is the ability of a material to resist deformation under stress.</p>,True,False,,,,A,
<p>The acidic bessemer process is suitable for producing steel from pig iron containing large quantities of phosphorus.</p>,Correct,Incorrect,,,,B,
"<p>In low carbon steels, presence of small quantities of sulphur improves</p>",weldability,formability,machinability,hardenability,,C,
<p>Cast iron is used in those parts which are subjected to shocks.</p>,Correct,Incorrect,,,,B,
<p>The aluminium alloy made by melting aluminium with 2 to 10% magnesium and 1.75% copper is called</p>,duralumin,Y-alloy,magnalium,hindalium,,C,
<p>Y-alloy contains</p>,"3.5 to 4.5% copper, 0.4 to 0.7% magnesium, 0.4 to 0.7% manganese and rest aluminium","3.5 to 4.5% copper, 1.2 to 1.7% manganese, 1.8 to 2.3% nickel, 0.6% each of silicon, magnesium and iron, and rest aluminium","4 to 4.5% magnesium, 3 to 4% copper and rest aluminium","5 to 6% tin, 2 to 3% copper and rest aluminium",,B,
<p>The steel scrap added in the charge of cupola controls the grade of cast iron produced.</p>,Correct,Incorrect,,,,A,
<p>The main alloying elements high speed steel in order of increasing proportion are</p>,"vanadium, chromium, tungsten","tungsten, titanium, vanadium","chromium, titanium, vanadium","tungsten, chromium, titanium",,A,
<p>Which of the following metal is used in making electrical resistance wire for electric furnaces and heating elements?</p>,Babbit metal,Monel metal,Nichrome,Phosphor bronze,,C,
<p>Which of the following metal is used for nuclear energy?</p>,Uranium,Thorium,Niobium,all of these,,D,
