question,A,B,C,D,E,answer,explanation
<p>Linear programming can be applied successfully to</p>,chemical industry,oil industry,banks,all of these,,D,
"<p>For handling materials during manufacture of cement, a __________ is widely used.</p>",belt conveyor,bucket conveyor,fork lift truck,overhead crane,,B,
<p>Process layout is also known as</p>,analyticallayout,synthetic layout,static product layout,none of these,,A,
<p>PERT is a project planning and control technique.</p>,Yes,No,,,,A,
<p>The most suitableincentive plan for the maintenance section of an industry will be</p>,piece rate system,group incentive plan,profit sharing plans,simplification,,B,
"<p>If <i>A</i> is the total items consumed per year, <i>P</i> is the procurement cost per order, and <i>C</i> is the annual inventory carrying cost per item, then the most economic ordering quantity is given by</p>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/746-111-1.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/746-111-2.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/746-111-3.png""/>","<img src=""/_files/images/mechanical-engineering/industrial-engineering-and-production-management/746-111-4.png""/>",,C,
<p>CPM requires</p>,single time estimate,double time estimate,triple time estimate,none of these,,A,
<p>Halsey plan of wage incentive</p>,is not applied to all level of workers,is applied to all level of workers,does not guarantee minimum wage,is based upon efficiency of worker,,B,
<p>Which of the following wage incentive plan is applied to all workers?</p>,Halsey plan,Gantt plan,Emerson's efficiency plan,Rowan plan,,A,
<p>Actual performance of a task is called</p>,an event,an activity,a duration,none of these,,B,
<p>The interchangeability can be achieved by</p>,standardisation,better process planning,bonus plan,better product planning,,A,
<p>Travel charts are used to</p>,analyse material handling,determine inventory control difficulties,plan material handling procedure and routes,all of the above,,D,
<p>The value engineering technique in which experts of the same rank assemble for product development is called</p>,Delphi,brain storming,morphological analysis,direct expert comparison,,B,
<p>Process layout is employed</p>,where low volume of production is required,where similar jobs are manufactured on similar machines,where machines are arranged on functional basis,all of the above,,D,
<p>Which one of the following techniques is used for determining allowances in time study?</p>,Acceptance sampling,Linear regression,Performance rating,Work sampling,,D,
<p>PERT</p>,provides an approach for keeping planning up-to-date,provides a way for management to require that planning be done on a uniform and logical basis,permits management to foresee quickly the impact of variations from the plan,all of the above,,D,
