question,A,B,C,D,E,answer,explanation
<p>One eV is equal to ________ J.</p>,6.02 × 10<sup>23</sup>,1.6 × 10<sup>–19</sup>,6.25 × 10<sup>18</sup>,1.66 × 10<sup>–24</sup>,,B,
<p>The diode ________.</p>,is the simplest of semiconductor devices,has characteristics that closely match those of a simple switch,is a two-terminal device,All of the above,,D,
"<p>It is not uncommon for a germanium diode with an I<sub>s</sub> in the order of 1–2 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A at 25°C to have leakage current of 0.1 mA at a temperature of 100°C.</p>",True,False,,,,A,
<p>What does a high resistance reading in both forward- and reverse-bias directions indicate?</p>,A good diode,An open diode,A shorted diode,A defective ohmmeter,,B,
<p>Which capacitance dominates in the reverse-bias region?</p>,depletion,conversion,"40 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> Diffusion","140 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> None of the above",,A,
<p>What is the state of an ideal diode in the region of nonconduction?</p>,An open circuit,A short circuit,Unpredictable,Undefined,,A,
<p>How many orbiting electrons does the germanium atom have?</p>,4,14,32,41,,C,
<p>How many terminals does a diode have?</p>,1,2,3,4,,B,
<p>What unit is used to represent the level of a diode forward current I<sub>F</sub>?</p>,pA,nA,"<img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",mA,,D,
<p>The diffused impurities with ________ valence electrons are called donor atoms.</p>,4,3,5,0,,C,
<p>In which of the following color(s) is (are) LEDs presently available?</p>,Yellow,White,Orange,All of the above,,D,
<p>Determining r<sub>d</sub> to a high degree of accuracy from a characteristic curve is very accurate.</p>,True,False,,,,B,
<p>What is the range of the operating voltage level for LEDs?</p>,5–12 mV,1.7–3.3 V,5–12 V,20–25 V,,B,
<p>At what kind of operating frequency diffusion or transition is a capacitor represented in parallel with the ideal diode?</p>,Low frequency,Moderate frequency,Mid frequency,Very high frequency,,D,
<p>Which of the following devices can check the condition of a semiconductor diode?</p>,Digital display meter (DDM),Multimeter,Curve tracer,All of the above,,D,
<p>Which of the following is an atom composed of?</p>,Electrons,Protons,Neutrons,All of the above,,D,
<p>The condition of a semiconductor diode can be determined quickly using a ________.</p>,DDM,VOM,curve tracer,Any of the above,,D,
<p>How many valence electrons does a silicon atom have?</p>,1,2,3,4,,D,
<p>What is the resistor value of an ideal diode in the region of conduction?</p>,"0 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","5 k<img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",Undefined,Infinity,,A,
<p>Calculate the power dissipation of a diode having I<sub>D</sub> = 40 mA.</p>,28 mW,28 W,280 mW,Undefined,,A,
<p>Calculate static resistance R<sub>D</sub> of a diode having I<sub>D</sub> = 30 mA and V<sub>D</sub> = 0.75 V.</p>,"25 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","40 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","0.04 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>","0.025 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/>",,A,
<p>In which of the following is the light intensity measured?</p>,Candela,Efficacy,Flux,Illumination,,A,
"<p>Calculate I<sub>D</sub> if R<sub>D</sub> = 30 <img src=""/_files/images/electronic-devices-and-circuit-theory/omega.gif""/> and V<sub>D</sub> = 0.84 V.</p>",28 mA,0.028 mA,2.8 A,"280 <img src=""/_files/images/electronic-devices-and-circuit-theory/mu.gif""/>A",,A,
<p>Which of the following elements is most frequently used for doping pure Ge or Si?</p>,Boron,Gallium,Indium,All of the above,,D,
<p>Calculate the temperature coefficient in %/° C of a 10-V nominal Zener diode at 25° C if the nominal voltage is 10.2 V at 100° C.</p>,0.0238,0.0251,0.0267,0.0321,,C,
"<p>In general, LEDs operate at voltage levels from ________ V to ________ V.</p>","1.0, 3.0","1.7, 3.3","0.5, 4.0",None of the above,,B,
<p>Determine the nominal voltage for the Zener diode at a temperature of 120° C if the nominal voltage is 5.1 volts at 25° C and the temperature coefficient is 0.05%/° C.</p>,4.6 V,4.86 V,5.1 V,5.34 V,,D,
<p>What is the maximum power rating for LEDs?</p>,150 mW,500 mW,1 W,10 W,,A,
<p>The ________ diode model is employed most frequently in the analysis of electronic systems.</p>,ideal device,simplified,piecewise-linear,,,B,
<p>What is the value of the transition capacitance for a silicon diode when V<sub>D</sub> = 0? (Choose the best answer.)</p>,1 pF,3 pF,5 pF,10 pF,,B,
<p>Which of the following ratings is true?</p>,Si diodes have higher PIV and narrower temperature ranges than Ge diodes.,Si diodes have higher PIV and wider temperature ranges than Ge diodes.,Si diodes have lower PIV and narrower temperature ranges than Ge diodes.,Si diodes have lower PIV and wider temperature ranges than Ge diodes.,,B,
<p>The ideal diode is a(n) ________ circuit in the region of nonconduction.</p>,open,short,,,,A,
<p>Which capacitance dominates in the forward-bias region?</p>,Diffusion,Transition,Depletion,None of the above,,A,
<p>In what state is a silicon diode if the voltage drop across it is about 0.7 V?</p>,No bias,Forward bias,Reverse bias,Zener region,,B,
