question,A,B,C,D,E,answer,explanation
<p>The wet bulb temperature during sensible heating of air</p>,remains constant,increases,decreases,,,B,
"<p>The C.O.P. of an absorption type refrigerator is given by (where <i>T</i><sub>1</sub> = Temperature at which the working substance receives heat, <i>T</i><sub>2</sub> = Temperature of cooling water, and <i>T</i><sub>3</sub> = Evaporator temperature)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/420-193-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/420-193-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/420-193-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/420-193-4.png""/>",,B,
<p>Which of the following statement is wrong?</p>,The heat transfer in liquid and gases takes place according to convection.,The amount of heat flow through a body is dependent upon the material of the body.,"The thermal conductivity of solid metals increases with rise in temperature,",Logarithmic mean temperature difference is not equal to the arithmetic mean temperature difference.,,C,
<p>In free convection heat transfer transition from laminar to turbulent flow is governed by the critical value of the</p>,Reynold's number,Grashoff's number,"Reynold's number, Grashoff's number","Prandtl number, Grashoff's number",,D,
"<p>In a refrigerating machine, heat rejected is __________ heat absorbed.</p>",equal to,less than,greater than,,,C,
<p>The humidity ratio or specific humidity is the mass of water vapour present in</p>,1 m<sup>3</sup> of wet air,1 m<sup>3</sup> of dry air,1 kg of wet air,1 kg of dry air,,D,
<p>The formation of frost on cooling coils in a refrigerator</p>,increases heat transfer,improves C.O.P. of the system,increases power consumption,reduces power consumption,,C,
<p>The by-pass factor for a cooling coil</p>,increases with increase in velocity of air passing through it,decreases with increase in velocity of air passing through it,remains unchanged with increase in velocity of air passing through it,may increase or decrease with increase in velocity of air passing through it depending upon the condition of air entering,,A,
"<p>The difference between dry bulb temperature and wet bulb temperature, is called</p>",dry bulb depression,wet bulb depression,dew point depression,degree of saturation,,B,
<p>Defrosting of a refrigerator may be done by stopping the compressor for a short period.</p>,Correct,Incorrect,,,,A,
"<p>According to Dalton's law of partial pressures, (where <i>p<sub>b</sub></i> = Barometric pressure, <i>p<sub>a</sub></i> = Partial pressure of dry air, and <i>p<sub>v</sub></i> = Partial pressure of water vapour)</p>",<i>P<sub>b</sub></i> = <i>p<sub>a</sub></i> - <i>p<sub>v</sub></i>,<i>P<sub>b</sub></i> = <i>p<sub>a</sub></i> + <i>p<sub>v</sub></i>,<i>P<sub>b</sub></i> = <i>p<sub>a</sub></i> x <i>p<sub>v</sub></i>,<i>P<sub>b</sub></i> = <i>p<sub>a</sub></i>/<i>p<sub>v</sub></i>,,B,
<p>The heat transfer by conduction through a thick sphere is given by</p>,"<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-33-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-33-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-33-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/405-33-4.png""/>",,B,
<p>The relative humidity is defined as</p>,the mass of water vapour present in 1 m<sup>3</sup> of dry air,the mass of water vapour present in 1 kg of dry air,the ratio of the actual mass of water vapour in a unit mass of dry air to the mass of water vapour in the same mass of dry air when it is saturated at the same temperature and pressure.,the ratio of actual mass of water vapour in a given volume of moist air to the mass of water vapour in the same volume of saturated air at the same temperature and pressure,,D,
"<p>Fourier's law of heat conduction is (where <i>Q</i> = Amount of heat flow through the body in unit time, <i>A</i> = Surface area of heat flow, taken at right angles to the direction of heat flow, <i>dT</i> = Temperature difference on the two faces of the body, <i>dx</i> = Thickness of the body, through which the heat flows, taken along the direction of heat flow, and <i>k</i> = Thermal conductivity of the body)</p>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-14-1.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-14-2.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-14-3.png""/>","<img src=""/_files/images/mechanical-engineering/heat-transfer-refrigeration-and-air-conditioning/404-14-4.png""/>",,A,
<p>The heat transfer by conduction through a thick sphere is same as through a thick cylinder.</p>,True,False,,,,B,
"<p>In aqua-ammonia and Lithium-bromide water absorption refrigeration systems, the refrigerants are respectively</p>",water and water,water and lithium bromide,ammonia and lithium bromide,ammonia and water,,D,
"<p>As relative humidity decreases, the dew point temperature will be __________ wet bulb temperature.</p>",same as,lower than,higher man,,,B,
"<p>The process of heat transfer from a hot body to a cold body, in a straight line, without affecting the intervening medium, is called radiation.</p>",True,False,,,,A,
