question,A,B,C,D,E,answer,explanation
<p>The Boolean expression C + CD is equal to ________.</p>,C,D,C + D,1,,A,
"<p><p>The Boolean expression for the logic circuit shown is _____.</p>
<p><img src=""/_files/images/digital-electronics/digital-fundamentals/cuq4_00500.gif""/></p></p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0050a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0050b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0050c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0050d.gif""/>",,C,
"<p>Applying DeMorgan's theorem and Boolean algebra to the expression <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq4_00400u.png""/> results in ________.</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0040a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0040bu.png""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0040c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0040d.gif""/>",,D,
"<p>The standard SOP form of the expression <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq4_00600.gif""/> is ________.</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0060a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0060b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0060c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0060d.gif""/>",,B,
<p>Identify the Boolean expression that is in standard POS form.</p>,"<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0080a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0080b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0080c.gif""/>",(A + B)(C + D),,C,
"<p>The Boolean expression <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq4_00300.gif""/> is equal to ________.</p>",C,D,C + D,1,,C,
"<p>The Boolean expression <img src=""/_files/images/digital-electronics/digital-fundamentals/cuq4_00700.gif""/> can be reduced to ________.</p>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0070a.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0070b.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0070c.gif""/>","<img src=""/_files/images/digital-electronics/digital-fundamentals/cua4_0070d.gif""/>",,D,
<p>Which of the following is true for a 5-variable Karnaugh map?</p>,There is no such thing.,It can be used only with the aid of a computer.,It is made up of two 4-variable Karnaugh maps.,It is made up of a 2-variable and a 3-variable Karnaugh map.,,C,
"<p>When four 1s are taken as a group on a Karnaugh map, the number of variables eliminated from the output expression is ________.</p>",1,2,3,4,,B,
"<p>In Boolean algebra, the word ""literal"" means ________.</p>",a product term,all the variables in a Boolean expression,the inverse function,a variable or its complement,,D,
